일시,공급능력(MW),현재부하(MW),공급예비력(MW),공급예비율(%),기온(°C)
2026-03-30 02:05,84716,48934,35782,73.1,""""""
2026-03-30 02:00,84603,49021,35582,72.6,""""""
2026-03-30 01:55,84674,49335,35339,71.6,""""""
2026-03-30 01:50,84702,49134,35569,72.4,""""""
2026-03-30 01:45,84630,49380,35250,71.4,""""""
2026-03-30 01:40,84640,49514,35126,70.9,""""""
2026-03-30 01:35,84560,49509,35051,70.8,""""""
2026-03-30 01:30,84524,49668,34856,70.2,""""""
2026-03-30 01:25,84556,49708,34848,70.1,""""""
2026-03-30 01:20,84514,49890,34624,69.4,""""""
2026-03-30 01:15,84480,50193,34287,68.3,""""""
2026-03-30 01:10,84581,50243,34338,68.3,""""""
2026-03-30 01:05,84443,50385,34058,67.6,""""""
2026-03-30 01:00,82755,50508,32247,63.8,""""""
2026-03-30 00:55,82749,50786,31963,62.9,""""""
2026-03-30 00:50,82795,50813,31982,62.9,""""""
2026-03-30 00:45,82791,51296,31494,61.4,""""""
2026-03-30 00:40,82757,51554,31203,60.5,""""""
2026-03-30 00:35,82798,51481,31317,60.8,""""""
2026-03-30 00:30,82757,51552,31205,60.5,""""""
2026-03-30 00:25,82702,51828,30874,59.6,""""""
2026-03-30 00:20,82756,51918,30838,59.4,""""""
2026-03-30 00:15,82824,52330,30494,58.3,""""""
2026-03-30 00:10,82714,52459,30255,57.7,""""""
2026-03-30 00:05,82695,52799,29896,56.6,""""""
2026-03-30 00:00,80189,52849,27340,51.7,""""""
