행정구역별,연도,점검실시 호수,부적합현황,부적합률
서울,2024,1118993,13377,1.2
부산·울산,2024,686150,5372,0.8
대구·경북,2024,1125262,13953,1.2
인천,2024,374915,5645,1.5
광주·전남,2024,788466,11235,1.4
대전·충남,2024,813627,10043,1.2
경기,2024,1815578,27407,1.5
강원,2024,375562,5229,1.4
충북,2024,272209,5711,2.1
전북,2024,461362,6702,1.5
경남,2024,703141,8340,1.2
제주,2024,163195,5478,3.4
서울,2023,1256576,13867,1.1
부산·울산,2023,625130,5865,0.9
대구·경북,2023,1188761,12249,1.0
인천,2023,377108,5183,1.4
광주·전남,2023,818986,10585,1.3
대전·충남,2023,766390,7529,1.0
경기,2023,1752544,20935,1.2
강원,2023,445303,4564,1
충북,2023,423116,6653,1.6
전북,2023,466712,4221,0.9
경남,2023,767719,7044,0.9
제주,2023,154880,5196,3.4
서울,2022,1525156,24424,1.6
부산·울산,2022,734274,12576,1.7
대구·경북,2022,1282440,21104,1.6
인천,2022,453306,6999,1.5
광주·전남,2022,878388,16839,1.9
대전·충남,2022,837320,13438,1.6
경기,2022,2050709,31973,1.6
강원,2022,474617,8455,1.8
충북,2022,456056,8275,1.8
전북,2022,498736,8761,1.8
경남,2022,819154,15371,1.9
제주,2022,170784,5570,3.3
서울,2021,1344414,21544,1.6
부산·울산,2021,539832,11007,2.0
대구·경북,2021,1242007,20063,1.6
인천,2021,404173,6320,1.6
광주·전남,2021,848876,14286,1.7
대전·충남,2021,835252,13857,1.7
경기,2021,1227598,19184,1.6
경기북부,2021,881962,9824,1.1
강원,2021,413298,8348,2.0
충북,2021,435368,6013,1.4
전북,2021,481325,8737,1.8
경남,2021,710333,13673,1.9
제주,2021,153953,7883,5.1
서울,2020,1200272,16553,1.4
부산·울산,2020,682629,9244,1.4
대구·경북,2020,1122353,15458,1.4
인천,2020,565969,6317,1.1
광주·전남,2020,797947,13373,1.7
대전·충남,2020,839601,11855,1.4
경기,2020,1076919,15580,1.4
경기북부,2020,543574,7254,1.3
강원,2020,443114,6600,1.5
충북,2020,390583,4637,1.2
전북,2020,497653,8278,1.7
경남,2020,709316,11776,1.7
제주,2020,143521,5866,4.1
서울,2019,1205827,378646,31.4
부산·울산,2019,649649,209551,32.3
대구·경북,2019,1116661,329606,29.5
인천,2019,538184,134598,25
광주·전남,2019,762082,216626,28.4
대전·충남,2019,780618,183937,23.6
경기,2019,1035435,241184,23.3
경기북부,2019,514169,122283,23.8
강원,2019,435966,109048,25
충북,2019,372813,66702,17.9
전북,2019,489719,131691,26.9
경남,2019,697476,189960,27.2
제주,2019,134719,24906,18.5
서울,2018,1222357,15359,1.3
부산·울산,2018,658869,8651,1.3
대구·경북,2018,1113727,14271,1.3
인천,2018,555280,7854,1.4
광주·전남,2018,764309,13380,1.8
대전·충남,2018,777594,11330,1.5
경기,2018,1061832,16589,1.6
경기북부,2018,487691,6829,1.4
강원,2018,403718,7526,1.9
충북,2018,387498,6031,1.6
전북,2018,453329,5826,1.3
경남,2018,706415,11564,1.6
제주,2018,148206,6513,4.4
서울,2017,1215705,15210,1.3
부산·울산,2017,660064,8348,1.3
대구·경북,2017,1121495,15058,1.3
인천,2017,551963,7607,1.4
광주·전남,2017,771479,12724,1.6
대전·충남,2017,792571,10510,1.3
경기,2017,1074710,16927,1.6
경기북부,2017,485453,6589,1.4
강원,2017,406417,8053,2
충북,2017,389937,6247,1.6
전북,2017,457609,5645,1.2
경남,2017,708218,11377,1.6
제주,2017,151603,6135,4
서울,2016,1261112,16824,1.3
부산·울산,2016,701712,8962,1.3
대구·경북,2016,1128150,18229,1.6
인천,2016,557552,8337,1.5
광주·전남,2016,810119,15548,1.9
대전·충남,2016,776119,10969,1.4
경기,2016,1098550,17687,1.6
경기북부,2016,495252,7540,1.5
강원,2016,407420,8290,2
충북,2016,405954,6512,1.6
전북,2016,489620,6965,1.4
경남,2016,718782,13345,1.9
제주,2016,134338,1942,1.4
