date,year,month,hour_ending,hour,headquarter,customer_count,load_MWh,season,load_type,rate_won_per_kWh,base_charge_won_per_kW,electricity_cost_won,emission_factor_basis,emission_tCO2eq,emission_kgCO2eq
2024-12-31,2024,12,1,0,경기북부본부,872711,2828,동계,경부하,64.3,8220,181840400.0,2023 소비단,1180.1244,1180124.4
2024-12-31,2024,12,2,1,경기북부본부,871225,2690,동계,경부하,64.3,8220,172967000.0,2023 소비단,1122.537,1122537.0
2024-12-31,2024,12,3,2,경기북부본부,870807,2618,동계,경부하,64.3,8220,168337400.0,2023 소비단,1092.4914,1092491.4
2024-12-31,2024,12,4,3,경기북부본부,870855,2588,동계,경부하,64.3,8220,166408400.0,2023 소비단,1079.9724,1079972.4
2024-12-31,2024,12,5,4,경기북부본부,871082,2612,동계,경부하,64.3,8220,167951600.0,2023 소비단,1089.9876,1089987.6
2024-12-31,2024,12,6,5,경기북부본부,871320,2714,동계,경부하,64.3,8220,174510199.99999997,2023 소비단,1132.5522,1132552.2
2024-12-31,2024,12,7,6,경기북부본부,871231,2937,동계,경부하,64.3,8220,188849100.0,2023 소비단,1225.6101,1225610.1
2024-12-31,2024,12,8,7,경기북부본부,870984,3314,동계,경부하,64.3,8220,213090199.99999997,2023 소비단,1382.9322,1382932.2
2024-12-31,2024,12,9,8,경기북부본부,870960,3816,동계,경부하,64.3,8220,245368800.0,2023 소비단,1592.4168,1592416.8
2024-12-31,2024,12,10,9,경기북부본부,870981,4052,동계,중간부하,101.8,8220,412493600.0,2023 소비단,1690.8996,1690899.6
2024-12-31,2024,12,11,10,경기북부본부,870411,4070,동계,최대부하,147.2,8220,599104000.0,2023 소비단,1698.411,1698411.0
2024-12-31,2024,12,12,11,경기북부본부,870718,3977,동계,최대부하,147.2,8220,585414399.9999999,2023 소비단,1659.6021,1659602.1
2024-12-31,2024,12,13,12,경기북부본부,872073,3735,동계,중간부하,101.8,8220,380223000.0,2023 소비단,1558.6155,1558615.5
2024-12-31,2024,12,14,13,경기북부본부,872407,3754,동계,중간부하,101.8,8220,382157200.0,2023 소비단,1566.5442,1566544.2
2024-12-31,2024,12,15,14,경기북부본부,872812,3734,동계,중간부하,101.8,8220,380121200.0,2023 소비단,1558.1982,1558198.2
2024-12-31,2024,12,16,15,경기북부본부,873134,3644,동계,중간부하,101.8,8220,370959200.0,2023 소비단,1520.6412,1520641.2
2024-12-31,2024,12,17,16,경기북부본부,873213,3600,동계,중간부하,101.8,8220,366480000.0,2023 소비단,1502.28,1502280.0
2024-12-31,2024,12,18,17,경기북부본부,872972,3571,동계,최대부하,147.2,8220,525651199.99999994,2023 소비단,1490.1783,1490178.3
2024-12-31,2024,12,19,18,경기북부본부,872687,3480,동계,최대부하,147.2,8220,512255999.99999994,2023 소비단,1452.204,1452204.0
2024-12-31,2024,12,20,19,경기북부본부,871842,3390,동계,최대부하,147.2,8220,499007999.99999994,2023 소비단,1414.647,1414647.0
2024-12-31,2024,12,21,20,경기북부본부,872318,3304,동계,중간부하,101.8,8220,336347200.0,2023 소비단,1378.7592,1378759.2
2024-12-31,2024,12,22,21,경기북부본부,872873,3214,동계,중간부하,101.8,8220,327185200.0,2023 소비단,1341.2022,1341202.2
2024-12-31,2024,12,23,22,경기북부본부,872904,3144,동계,최대부하,147.2,8220,462796800.0,2023 소비단,1311.9912,1311991.2
2024-12-31,2024,12,24,23,경기북부본부,873164,3105,동계,경부하,64.3,8220,199651500.0,2023 소비단,1295.7165,1295716.5
